Case #1:
29109 398
29238 923
29250 223
29282 18
29342 1239
29365 1720
29366 886
29537 1399
29561 271
29594 1632
29595 474
29608 212
29663 735
29723 1399
29821 104
29842 1632
29875 1399
29938 512
29939 105
29946 207
29969 706
29969 370
30049 169
30106 309
30188 170
30194 145
30206 18
30273 1654
30318 1078
30414 39
30418 1026
30485 122
30546 49
30560 378
30656 122
30662 221
30699 180
30741 1307
30768 68
30828 154
30880 169
30904 17
31068 397
31100 103
31129 1239
31227 458
31291 59
31312 347
31313 365
31365 1632
31479 506
31507 1170
31530 662
31535 5
31554 364
31564 183
31566 164
31602 170
31617 635
31699 455
31729 128
31753 757
31780 211
31814 29
31924 1098
31939 18
32096 122
32123 251
32186 702
32194 1217
32195 169
32277 478
32300 506
32527 826
32532 15
32538 576
32554 221
32564 127
32600 63
32707 1070
32753 167
32775 318
32784 9
32792 17
32813 378
32852 1399
32957 491
32990 5
33019 184
33217 1033
33232 1192
33322 1495
33348 95
33388 154
33420 145
33459 51
33527 48
33541 164
33550 378
33600 579
33720 12
33809 160
33926 1386
33980 356
34000 90
34009 260
34039 150
34181 867
34258 398
34276 595
34329 159
34415 18
34415 33
34442 423
34595 56
34627 450
34715 594
34749 512
34760 140
34792 956
34887 640
34889 13
34891 1399
34969 1242
34990 507
35002 1632
35084 1046
35141 76
35184 17
35221 1117
35233 455
35239 9
35284 464
35294 627
35363 169
35528 292
35591 63
35593 127
35601 576
35620 150
35671 68
35691 184
35736 254
35798 42
35799 1181
35800 63
36011 1245
36096 521
36097 1632
36124 1632
36153 145
36168 86
36220 956
36386 398
36505 579
36551 63
36580 68
36631 1410
36717 208
36768 51
36799 170
36872 598
37080 358
37108 68
37111 85
37154 64
37312 951
37323 51
37336 9
37336 221
37425 1609
37443 93
37556 63
37586 68
37748 1632
37762 71
37791 78
37826 1113
37904 1033
37929 980
38057 196
38206 266
38214 945
38284 217
38555 1632
38586 181
38588 830
38603 1015
38616 207
38644 134
38664 505
38696 215
38700 9
38735 343
38774 168
38821 8
38851 195
38894 225
38928 827
38953 1196
38965 1632
38997 630
39055 1307
39064 63
39151 432
39167 273
39195 467
39228 753
39335 647
39426 309
39520 254
39599 130
39734 1131
39822 482
39825 278
39875 63
39937 937
40001 538
40017 702
40017 822
40050 100
40151 662
40195 184
40205 498
40227 1170
40252 90
40263 32
40424 390
40442 498
40463 59
40538 1417
40557 570
40583 104
40624 29
40656 218
40666 364
40708 390
40776 51
40783 1001
40871 195
40880 325
40941 233
40963 1172
40978 1399
41067 677
41077 220
41176 295
41236 1242
41290 410
41296 216
41306 63
41350 43
41364 29
41395 396
41413 1632
41442 63
41550 74
41570 254
41595 570
41694 432
41807 141
41833 51
41844 321
41880 1705
41884 164
41970 251
41976 398
41977 570
42010 254
42083 1399
42173 140
42217 822
42218 63
42218 555
42233 1497
42234 373
42252 2
42281 1478
42307 308
42307 677
42320 309
42362 29
42441 90
42650 1632
42655 144
42676 441
42734 951
42776 726
42916 29
42921 167
42952 489
42969 258
42985 26
43145 570
43240 353
43280 56
43283 461
43324 438
43488 169
43567 167
43572 593
43581 208
43610 174
43668 1399
43711 184
43755 2
43787 29
43789 345
43819 605
43820 1355
43821 818
43837 74
43847 421
43871 662
43968 68
43982 527
44001 356
44011 167
44055 184
44089 221
44093 149
44157 56
44294 13
44304 184
44553 136
44558 345
44841 22
44911 184
44925 231
45000 39
45028 299
45036 100
45036 1011
45049 270
45069 292
45109 100
45202 1519
45204 1399
45323 1801
45407 90
45409 811
45436 482
45443 487
45461 1632
45481 216
45550 1632
45597 6
45627 151
45732 42
45754 664
45780 702
45814 39
45820 39
45879 188
45899 1399
45961 1632
45990 181
46023 478
46043 1632
46044 85
46045 432
46058 18
46058 1632
46222 100
46383 86
46518 254
46525 18
46606 308
46680 100
46681 662
46769 597
46857 266
46885 221
46898 9
46995 1632
47014 1433
47071 691
47161 208
47298 93
47318 56
47323 164
47376 286
47434 518
47473 68
47508 18
47639 254
47648 29
47697 56
47748 61
47801 188
47839 677
47855 167
47860 806
47940 371
47980 506
48016 719
48049 79
48059 258
48106 219
48270 4
48271 555
48336 100
48418 1632
48439 273
48586 1632
48591 8
48633 1632
48652 314
48657 884
48738 18
48803 1096
48865 116
48906 73
48911 436
49040 56
49096 1399
49137 298
49140 271
49153 371
49185 449
49219 167
49221 1632
49224 56
49244 446
49301 860
49332 5
49353 13
49416 219
49441 231
49475 299
49508 533
49539 141
49579 231
49595 188
49622 164
49636 228
49655 1
49664 4
49666 15
49678 844
49682 254
49695 102
49755 4
49755 664
49805 369
49806 122
49815 181
49819 612
49899 71
50074 1399
50149 207
50159 6
50161 1081
50258 2
50283 1026
50381 958
50448 216
50462 216
50513 169
50523 241
50531 278
50561 220
50684 220
50737 1399
50843 150
50843 379
50917 1248
50931 1399
50934 8
50964 1399
51035 1632
51053 371
51139 8
51143 1399
51241 167
51253 1026
51258 1632
51296 241
51356 2
51362 3
51377 72
51404 278
51408 1632
51432 104
51502 369
51558 5
51581 6
51621 166
51662 4
51682 396
51704 1632
51817 6
51820 373
51852 241
51854 1399
51952 278
52024 1126
52074 147
52084 438
52116 73
52122 251
52126 1399
52189 122
52193 116
52264 1113
52400 303
52416 8
52431 56
52499 12
52521 1737
52603 1399
52611 167
52801 284
52846 251
52897 631
52928 5
52951 104
52989 1632
53013 1632
53014 512
53016 174
53065 1
53077 49
53178 18
53179 1417
53230 1417
53267 542
53381 173
53524 1399
53527 256
53628 3
53636 4
53658 640
53712 740
53749 1417
53862 18
53965 174
53967 1417
54120 254
54175 6
54310 109
54439 1632
54545 220
54597 633
54619 1273
54671 844
54680 345
54789 82
54807 1632
54833 5
54938 104
54993 183
55000 1632
55010 150
55047 1632
55129 18
55134 699
55181 6
55195 814
55201 220
55349 1399
55365 22
55380 1546
55396 17
55440 1632
55452 347
55473 183
55502 71
55545 1399
55545 9
55622 1316
55639 97
55641 9
55642 270
56030 431
56106 212
56126 487
56169 1399
56188 150
56270 913
56293 491
56326 271
56455 8
56510 32
56579 308
56599 266
56664 6
56736 805
56772 73
56806 18
56871 1400
56892 39
57032 105
57105 127
57122 42
57124 286
57126 167
57130 4
57152 8
57248 1400
57258 753
57290 39
57317 1026
57502 1400
57618 317
57733 1399
57887 9
58029 945
58098 308
58217 1546
58226 482
58249 218
58300 86
58446 278
58778 1217
58781 1177
58822 1066
58986 86
59003 1417
59045 1400
59179 1177
59191 1400
59224 345
59305 49
59360 134
59365 1400
59379 1400
59389 1400
59454 11
59463 140
59499 785
59512 830
59611 18
59636 68
59650 68
59703 294
59724 1400
59746 956
59830 18
59849 662
59916 39
59923 1400
59939 1341
59964 1501
60094 1400
60156 251
60299 1177
60364 740
60590 9
60596 1400
60674 169
60721 251
60764 111
60781 327
60809 481
60812 8
60815 835
60827 9
60837 406
60918 1400
60980 481
61025 345
61114 32
61137 1417
61304 759
61391 1118
61399 221
61400 347
61421 364
61460 242
61465 481
61467 140
61537 1177
61626 18
61634 13
61642 18
61655 82
61675 88
61787 8
61929 1406
61989 1177
62018 1326
62174 220
62174 555
62411 1400
62430 17
62534 15
62558 68
62619 97
62660 49
62682 220
62768 9
62853 481
62909 1417
63007 384
63038 1177
63085 323
63157 481
63236 1417
63250 1400
63373 49
63444 23
63502 73
63577 1177
63665 202
63735 11
63838 1400
63902 174
63909 380
63949 347
63992 1417
64117 1632
64255 15
64264 73
64306 1
64421 127
64441 82
64648 11
64728 1217
64736 224
64813 528
64892 6
64916 324
64925 481
64956 899
64994 852
65175 224
65200 1400
65237 1177
65254 85
65255 26
65325 73
65705 1417
65773 15
65776 49
65778 844
65951 22
65971 183
66114 150
66195 1177
66297 1523
66311 322
66375 11
66420 52
66421 1400
66425 1400
66428 18
66438 278
66532 208
66538 8
66613 321
66631 32
66640 518
66672 121
66836 109
66901 505
66925 6
66973 322
67046 1400
67070 17
67104 861
67121 1
67130 6
67246 6
67271 15
67371 322
67423 264
67442 109
67569 196
67661 110
67670 861
67782 13
67799 208
67897 18
67907 174
67915 8
68130 134
68184 221
68237 49
68245 1279
68264 73
68348 347
68366 861
68383 48
68448 322
68490 18
68510 595
68605 861
68707 478
68806 913
68828 1417
68873 49
69090 597
69143 18
69157 1143
69159 219
69187 208
69246 6
69320 278
69330 8
69450 327
69469 597
69493 6
69578 1273
69628 505
69631 1004
69649 144
69652 322
69695 455
69802 78
69835 140
69861 48
69881 1177
69900 308
69941 322
69956 82
70013 220
70054 208
70108 1057
70126 436
70129 289
70246 202
70343 322
70344 251
70364 8
70416 1417
70436 597
70525 251
70548 597
70559 49
70580 1177
70601 478
70674 52
70743 1920
70761 1177
70764 824
70777 322
70792 64
70805 1177
70818 505
70901 123
70964 886
71007 956
71024 208
71033 202
71090 597
71130 405
71161 886
71350 665
71436 202
71507 1417
71693 322
71721 134
71776 1307
71794 18
71858 23
71911 19
71947 744
72056 11
72092 242
72113 23
72190 13
72203 886
72221 208
72430 886
72470 886
72472 322
72493 166
72496 597
72758 597
72932 208
73013 452
73078 322
73099 1417
73347 11
73381 597
73456 446
73477 482
73502 18
73571 886
73586 1417
73587 11
73651 597
73672 23
73939 9
74087 42
74121 597
74166 597
74170 886
74227 308
74253 251
74278 759
74280 1417
74328 718
74330 322
74380 23
74391 11
74411 505
74415 322
74500 22
74516 1417
74561 322
74577 597
74588 597
74593 13
74619 15
74673 8
74688 597
74718 90
74765 51
74820 51
74957 42
74959 555
74971 1
74986 442
74989 90
74993 347
75000 51
75159 597
75230 51
75252 211
75281 322
75310 3
75328 70
75346 51
75515 134
75575 134
75630 956
75707 956
75721 956
75751 73
75767 1417
75772 42
75776 255
75826 140
75906 956
76013 956
76023 1093
76032 18
76047 956
76115 208
76135 1417
76263 140
76269 134
76326 1417
76378 956
76426 23
76473 208
76537 461
76545 134
76559 1920
76564 956
76653 379
76656 23
76689 17
76721 1417
76736 956
76738 505
76769 134
76825 956
76834 956
76874 224
76900 956
76941 956
76979 1417
76992 208
77062 273
77107 956
77128 134
77144 1920
77149 121
77255 1
77267 8
77310 956
77449 956
77468 956
77477 1417
77519 956
77586 134
77598 956
77604 105
77617 956
77658 115
77845 956
77924 956
77993 42
77996 956
78035 956
78124 13
78164 71
78210 1417
78267 956
78275 920
78315 956
78337 18
78442 956
78526 726
78554 956
78699 43
78699 22
78742 262
78756 15
78777 956
78819 956
78891 1417
78927 148
78954 956
78969 956
79011 13
79105 1405
79182 956
79270 956
79295 505
79309 956
79322 70
79359 1405
79453 956
79562 116
79564 33
79653 505
79946 956
79947 18
80040 956
80041 956
80101 11
80109 15
80153 17
80168 18
80192 863
80319 956
80385 17
80419 956
80501 18
80505 956
80509 1405
80540 956
80607 956
80608 225
80640 956
80684 956
80724 956
80768 956
80774 956
80847 11
80889 956
80939 105
80980 956
81080 956
81088 123
81097 956
81178 956
81218 333
81294 956
81446 956
81458 505
81465 726
81563 801
81688 15
81939 956
82152 956
82189 956
82254 956
82333 956
82381 956
82430 956
82438 956
82442 956
82488 956
82583 956
82607 569
82634 956
82639 956
82763 59
82788 956
82820 121
82858 59
82917 956
82924 956
82952 956
82962 117
83080 291
83115 956
83134 956
83134 267
83138 956
83140 956
83321 1279
83455 956
83514 956
83532 956
83696 85
83813 956
83874 956
83904 956
83908 956
83913 956
83955 956
84025 956
84028 956
84084 17
84309 52
84309 482
84382 956
84399 1260
84401 956
84471 956
84510 956
84631 956
84680 97
84687 956
84748 956
84852 956
84882 956
84947 956
85119 956
85123 956
85158 956
85177 405
85191 956
85208 956
85252 956
85325 956
85468 251
85475 956
85575 105
85625 956
85653 956
85696 956
85699 956
85724 956
85744 956
85780 956
85789 956
85937 956
85980 956
85993 956
86073 956
86121 956
86276 956
86289 956
86328 956
86384 956
86386 956
86480 956
86482 956
86677 956
86686 956
86767 956
86772 956
86790 347
86815 347
87012 347
87081 347
87109 347
87231 347
87282 347
87358 347
87542 148
87657 347
87671 347
87693 347
87705 380
87803 347
87857 347
87867 347
87867 109
87996 347
88057 347
88123 347
88296 121
88481 347
88520 347
88595 347
88724 347
88748 347
88930 347
88994 105
89176 347
89303 347
89326 347
89490 347
89521 347
89546 347
89554 347
89556 347
89598 347
89718 347
89776 347
89781 347
89789 347
89830 347
89830 109
89880 347
89962 347
90118 347
90144 347
90153 347
90471 347
90505 347
90554 347
90651 347
90688 176
90792 347
90815 347
90846 347
90936 347
90961 347
91027 347
91083 347
91121 347
91174 315
91248 347
91267 347
91357 347
91440 347
91518 347
91615 347
91625 347
91794 347
91836 405
91860 347
91892 347
91908 347
91920 347
91984 347
91991 347
92015 347
92041 347
92147 347
92173 347
92222 347
92232 347
92233 347
92262 347
92288 347
92302 347
92490 347
92534 347
92589 347
92680 347
92695 347
92735 347
92800 347
92835 347
92923 347
92924 347
92980 347
93003 347
93022 347
93060 347
93087 347
93129 347
93160 347
93171 347
93197 347
93233 347
93237 347
93251 347
93321 347
93365 347
93398 347
93584 347
93648 347
93894 347
93905 347
93918 347
93929 347
94145 347
94259 347
94293 347
94411 347
94485 748
94548 347
94785 347
94906 347
94974 347
94976 347
95020 347
95057 118
95119 347
95124 347
95178 347
95273 347
95297 347
95371 347
95420 347
95476 347
95609 347
95720 347
95732 347
95753 347
95777 347
95848 347
95875 347
95970 33
96120 347
96145 347
96221 347
96239 347
96281 347
96386 347
96390 347
96393 347
96532 347
96561 347
96850 347
96852 347
96965 347
97012 347
97029 347
97037 347
97206 347
97318 347
97387 347
97433 347
97645 347
97720 347
97722 347
97741 242
97807 347
97843 347
97866 347
97918 347
97973 347
98139 347
98163 347
98201 347
98283 347
98309 347
98343 347
98344 347
98394 347
98441 347
98471 347
98503 347
98515 347
98522 347
98568 347
98583 347
98766 347
98796 347
98810 347
98823 347
98840 347
98843 347
98845 347
98851 347
98862 347
98882 347
98920 347
99084 347
99152 347
99158 347
99197 347
99248 347
99329 347
99402 347
99440 347
99453 347
99460 347
99610 347
99689 347
99758 347
99897 347
99905 347
99909 347
17
6
1903
225
1372
70
1752
956
1351
1766
1172
1065
1495
1399
347
264
308
1662
410
110
347
597
824
438
100
347
482
1801
1505
266
347
11
646
597
913
347
347
446
134
49
72
22
82
1150
61
294
1400
347
875
844
490
61
1400
1497
373
347
1654
1585
481
347
956
956
1098
291
830
347
1004
749
597
1400
1399
827
164
835
1832
123
1093
1078
757
956
13
1594
333
956
1881
68
1102
1025
1392
1174
597
441
23
22
33
1329
886
561
97
127
956
347
745
347
1861
322
428
338
1474
65
875
753
140
1331
347
68
760
597
1662
18
956
272
1877
1400
18
1399
13
347
487
3
661
347
208
15
591
347
395
347
347
100
1987
88
42
347
347
322
1125
15
956
1170
1527
1438
841
1132
18
1242
1104
373
1303
347
1026
48
347
1915
347
17
956
316
1177
218
347
1632
1918
29
702
365
68
378
127
401
1336
1632
1395
1315
1136
1022
1672
631
347
1592
1823
1177
1421
90
1177
195
166
241
97
1400
1049
745
1417
956
609
51
779
216
1177
85
1976
379
1478
757
262
121
438
956
1024
889
164
11
32
109
428
347
347
1520
956
633
956
347
1399
588
956
109
347
18
1388
6
215
893
956
1787
1985
354
109
1196
1248
195
956
1443
702
347
539
278
174
358
203
519
1400
956
347
1424
1279
1645
1395
1153
2
225
347
956
345
378
199
347
147
1661
597
1400
1679
347
144
347
1400
264
347
108
984
956
1889
1229
82
986
232
956
347
470
808
180
109
294
2000
150
1011
1150
109
42
347
347
167
564
42
956
542
342
528
267
347
167
143
1694
43
1417
1788
347
140
1555
347
347
1402
347
486
180
266
662
102
1989
519
482
1632
954
455
1714
1585
347
1378
1920
1991
1179
105
347
1432
1654
132
26
347
11
479
519
122
1478
347
1989
291
857
79
1229
827
347
1279
347
347
564
280
111
11
956
956
1689
167
1172
347
97
978
1026
51
1501
231
51
1138
51
1769
905
1585
11
956
49
147
956
1438
691
956
1387
702
347
1632
956
467
228
1541
347
143
82
254
347
1115
956
121
1405
956
175
1417
71
42
347
347
183
1936
1387
347
347
119
100
446
1475
347
1511
1632
347
140
1087
1813
564
965
221
1523
956
915
1788
164
551
347
347
1177
1142
1138
1834
956
15
1177
6
1780
347
398
1128
42
22
1148
322
68
1179
347
284
1
878
11
315
160
1805
1766
33
446
1049
167
347
347
1293
1632
291
347
347
347
417
116
347
1400
956
111
956
956
956
956
931
956
1887
100
347
665
757
743
262
406
1982
219
630
743
1057
68
203
919
347
631
22
1635
1818
956
276
956
956
8
917
1400
487
68
102
1286
1351
1722
322
68
1326
1546
9
31
22
347
32
956
255
593
1049
317
1270
703
347
6
224
956
224
945
1004
85
1271
956
315
1491
1105
347
324
347
51
461
347
211
61
1177
347
322
505
842
199
1170
287
1026
121
9
299
799
347
956
1241
824
347
6
1118
51
886
893
18
727
347
1662
1679
714
988
1336
245
71
347
1580
592
97
174
1764
1819
134
908
1378
1400
478
640
347
173
1170
1632
68
1561
220
347
1246
1752
956
342
956
220
42
347
56
1717
128
294
1087
1632
1769
483
42
491
168
1329
479
597
303
1744
347
347
844
956
749
42
956
618
28
347
347
242
1243
430
1172
100
181
956
630
51
42
49
487
956
1467
1058
392
347
347
347
454
751
294
151
1762
492
889
347
18
597
903
207
1850
814
956
1750
1289
401
284
1045
1104
13
1813
1632
475
347
1630
1466
995
452
1813
956
1329
347
1525
205
347
818
251
464
481
491
39
354
560
826
347
702
956
1105
627
1177
347
1127
956
292
779
100
791
1273
151
1362
347
82
1792
42
347
538
260
278
1351
231
1049
1720
154
557
1273
347
593
821
290
1578
32
1980
719
1992
597
347
1547
254
647
1344
1965
73
956
118
779
1565
4
1364
347
500
1658
32
1026
1510
491
347
561
1635
347
292
1578
12
1413
1550
1697
1339
287
1769
1766
1252
1611
481
263
347
1298
63
1395
1774
1628
6
956
284
13
396
1150
919
1399
274
1225
68
1722
956
842
1087
493
956
143
1585
1982
1231
347
1792
167
1041
28
528
71
591
195
835
1011
42
893
292
1632
159
180
919
715
130
1793
886
347
830
5
347
347
49
400
605
347
1644
1177
347
150
219
109
1710
1588
1677
523
11
271
116
284
956
180
466
163
1632
1547
1015
1177
203
245
560
912
1185
347
791
211
97
18
25
347
116
498
166
347
822
956
956
685
1399
864
1176
490
347
878
123
1477
18
410
8
1770
431
1012
4
1041
51
19
347
278
821
1434
597
1399
347
1135
886
1985
605
482
18
398
347
347
212
956
220
1632
956
1498
1634
1461
592
97
1705
347
956
1399
861
1399
90
841
347
424
445
347
287
73
1717
17
347
1400
347
1049
383
347
347
1172
899
1087
347
8
923
1417
1
860
841
923
251
127
347
424
1181
42
956
1849
264
956
347
1417
956
811
664
956
6
270
233
1774
1033
1738
482
18
956
667
1439
1421
110
6
205
1737
347
86
844
347
1252
103
218
1125
1417
563
531
347
903
744
347
121
264
1740
1387
956
262
466
1682
42
15
830
266
347
1528
1819
136
219
23
1215
347
289
1417
441
1548
52
347
886
593
39
151
199
347
498
956
1766
347
1124
284
691
1662
1914
347
1829
347
10
1170
1632
105
347
347
1994
1365
127
95
1956
946
1681
4
218
956
347
800
1316
1417
442
1399
1078
347
1630
605
1836
207
347
597
219
384
795
665
732
251
207
486
1766
1535
154
22
1258
1762
1192
481
105
347
1632
33
482
347
273
956
256
295
475
467
478
1918
347
1349
1063
1032
10
878
740
6
605
51
347
1106
861
1109
75
347
703
181
347
220
117
1400
1940
140
347
56
505
956
482
956
347
291
1461
953
1915
441
1965
1181
347
347
22
17
1766
455
347
15
353
1766
1472
1662
216
1317
347
1387
396
889
956
1364
640
375
166
1898
347
1714
134
347
73
857
1176
347
242
1172
73
956
251
1413
73
910
32
347
347
13
1654
266
918
347
809
810
493
1421
1632
1209
1375
325
1768
256
1380
207
561
1438
23
9
59
258
347
1307
184
1888
937
303
1399
365
1430
406
347
418
109
22
1869
347
956
438
579
748
1291
1630
1065
1876
481
287
100
956
347
186
32
347
691
1262
784
17
956
886
1400
481
347
452
1177
56
1806
8
150
505
347
1526
32
132
251
661
635
1081
1405
2
76
861
347
1671
873
39
308
861
290
691
715
51
1101
347
220
251
18
1734
39
438
956
1229
23
68
988
1047
762
1372
164
1400
174
228
15
347
168
1632
956
980
956
863
1673
347
1920
561
555
956
509
102
956
1362
542
597
49
1632
956
347
56
1663
15
438
631
1636
1412
228
803
1355
56
1559
1098
64
1098
1399
1355
410
992
757
486
1049
627
1836
821
1632
1104
117
1400
195
207
347
1762
347
378
1099
956
954
284
308
105
1123
1119
1870
225
617
289
736
1273
633
221
1455
140
10
347
1242
378
154
591
347
251
956
487
224
1417
347
1632
956
119
282
956
347
852
475
956
347
956
215
347
635
1128
347
956
1177
1335
134
345
1424
498
665
1386
956
23
104
1840
1181
639
886
256
347
188
605
597
154
1632
923
1202
1150
117
1799
884
1965
506
220
9
383
597
8
103
167
685
1057
528
1465
956
1541
5
1149
1501
446
622
615
1413
398
768
23
347
219
90
8
1559
70
18
1082
1471
431
254
1766
1217
1230
1271
425
51
630
22
347
286
56
1474
999
347
86
121
42
1099
322
263
167
1399
944
6
207
347
31
65
715
702
6
180
6
478
1638
1705
168
482
51
505
376
1203
1421
9
1822
1041
533
486
51
1177
56
449
1317
347
242
134
347
597
764
1527
136
880
1418
956
956
347
486
173
570
68
347
49
97
347
886
347
1124
461
867
799
1400
145
376
395
159
1417
482
164
322
1015
347
42
1565
347
9
898
1335
400
127
635
691
791
18
273
1177
482
116
779
835
835
447
989
1210
1632
1908
1932
167
833
1744
461
